Time(s),TX
0.000000000,3.3
0.000006510,3.3
0.000013021,3.3
0.000019531,3.3
0.000026042,3.3
0.000032552,3.3
0.000039063,3.3
0.000045573,3.3
0.000052083,3.3
0.000058594,3.3
0.000065104,3.3
0.000071615,3.3
0.000078125,3.3
0.000084635,3.3
0.000091146,3.3
0.000097656,3.3
0.000104167,3.3
0.000110677,3.3
0.000117188,3.3
0.000123698,3.3
0.000130208,3.3
0.000136719,3.3
0.000143229,3.3
0.000149740,3.3
0.000156250,3.3
0.000162760,3.3
0.000169271,3.3
0.000175781,3.3
0.000182292,3.3
0.000188802,3.3
0.000195313,3.3
0.000201823,3.3
0.000208333,3.3
0.000214844,3.3
0.000221354,3.3
0.000227865,3.3
0.000234375,3.3
0.000240885,3.3
0.000247396,3.3
0.000253906,3.3
0.000253906,3.3
0.000266927,3.3
0.000273438,3.3
0.000279948,3.3
0.000286458,3.3
0.000292969,3.3
0.000299479,3.3
0.000305990,3.3
0.000312500,3.3
0.000319010,3.3
0.000325521,3.3
0.000332031,3.3
0.000338542,3.3
0.000345052,3.3
0.000351563,3.3
0.000358073,3.3
0.000364583,3.3
0.000371094,3.3
0.000377604,3.3
0.000384115,3.3
0.000390625,3.3
0.000397135,3.3
0.000403646,3.3
0.000410156,3.3
0.000416667,0.0
0.000423177,0.0
0.000429688,0.0
0.000436198,0.0
0.000442708,0.0
0.000449219,0.0
0.000455729,0.0
0.000462240,0.0
0.000468750,0.0
0.000475260,0.0
0.000481771,0.0
0.000488281,0.0
0.000494792,0.0
0.000501302,0.0
0.000507813,0.0
0.000514323,0.0
0.000520833,0.0
0.000527344,0.0
0.000533854,0.0
0.000540365,0.0
0.000546875,0.0
0.000553385,0.0
0.000559896,0.0
0.000559896,0.0
0.000572917,0.0
0.000579427,0.0
0.000585938,0.0
0.000592448,0.0
0.000598958,0.0
0.000605469,0.0
0.000611979,0.0
0.000618490,0.0
0.000625000,0.0
0.000631510,0.0
0.000638021,0.0
0.000644531,0.0
0.000651042,0.0
0.000657552,0.0
0.000664063,0.0
0.000670573,0.0
0.000677083,0.0
0.000683594,0.0
0.000690104,0.0
0.000696615,0.0
0.000703125,0.0
0.000709635,0.0
0.000716146,0.0
0.000722656,0.0
0.000729167,0.0
0.000735677,0.0
0.000742188,0.0
0.000748698,0.0
0.000755208,0.0
0.000761719,0.0
0.000768229,0.0
0.000774740,0.0
0.000781250,0.0
0.000787760,0.0
0.000794271,0.0
0.000800781,0.0
0.000807292,0.0
0.000813802,0.0
0.000820313,0.0
0.000826823,0.0
0.000833333,3.3
0.000839844,3.3
0.000846354,3.3
0.000852865,3.3
0.000859375,3.3
0.000865885,3.3
0.000865885,3.3
0.000878906,3.3
0.000885417,3.3
0.000891927,3.3
0.000898438,3.3
0.000904948,3.3
0.000911458,3.3
0.000917969,3.3
0.000924479,3.3
0.000930990,3.3
0.000937500,0.0
0.000944010,0.0
0.000950521,0.0
0.000957031,0.0
0.000963542,0.0
0.000970052,0.0
0.000976562,0.0
0.000983073,0.0
0.000989583,0.0
0.000996094,0.0
0.001002604,0.0
0.001009115,0.0
0.001015625,0.0
0.001022135,0.0
0.001028646,0.0
0.001035156,0.0
0.001041667,0.0
0.001048177,0.0
0.001054688,0.0
0.001061198,0.0
0.001067708,0.0
0.001074219,0.0
0.001080729,0.0
0.001087240,0.0
0.001093750,0.0
0.001100260,0.0
0.001106771,0.0
0.001113281,0.0
0.001119792,0.0
0.001126302,0.0
0.001132813,0.0
0.001139323,0.0
0.001145833,3.3
0.001152344,3.3
0.001158854,3.3
0.001165365,3.3
0.001171875,3.3
0.001171875,3.3
0.001184896,3.3
0.001191406,3.3
0.001197917,3.3
0.001204427,3.3
0.001210937,3.3
0.001217448,3.3
0.001223958,3.3
0.001230469,3.3
0.001236979,3.3
0.001243490,3.3
0.001250000,0.0
0.001256510,0.0
0.001263021,0.0
0.001269531,0.0
0.001276042,0.0
0.001282552,0.0
0.001289063,0.0
0.001295573,0.0
0.001302083,0.0
0.001308594,0.0
0.001315104,0.0
0.001321615,0.0
0.001328125,0.0
0.001334635,0.0
0.001341146,0.0
0.001347656,0.0
0.001354167,3.3
0.001360677,3.3
0.001367188,3.3
0.001373698,3.3
0.001380208,3.3
0.001386719,3.3
0.001393229,3.3
0.001399740,3.3
0.001406250,3.3
0.001412760,3.3
0.001419271,3.3
0.001425781,3.3
0.001432292,3.3
0.001438802,3.3
0.001445313,3.3
0.001451823,3.3
0.001458333,3.3
0.001464844,3.3
0.001471354,3.3
0.001477865,3.3
0.001477865,3.3
0.001490885,3.3
0.001497396,3.3
0.001503906,3.3
0.001510417,3.3
0.001516927,3.3
0.001523438,3.3
0.001529948,3.3
0.001536458,3.3
0.001542969,3.3
0.001549479,3.3
0.001555990,3.3
0.001562500,0.0
0.001569010,0.0
0.001575521,0.0
0.001582031,0.0
0.001588542,0.0
0.001595052,0.0
0.001601563,0.0
0.001608073,0.0
0.001614583,0.0
0.001621094,0.0
0.001627604,0.0
0.001634115,0.0
0.001640625,0.0
0.001647135,0.0
0.001653646,0.0
0.001660156,0.0
0.001666667,3.3
0.001673177,3.3
0.001679688,3.3
0.001686198,3.3
0.001692708,3.3
0.001699219,3.3
0.001705729,3.3
0.001712240,3.3
0.001718750,3.3
0.001725260,3.3
0.001731771,3.3
0.001738281,3.3
0.001744792,3.3
0.001751302,3.3
0.001757813,3.3
0.001764323,3.3
0.001770833,0.0
0.001777344,0.0
0.001783854,0.0
0.001783854,0.0
0.001796875,0.0
0.001803385,0.0
0.001809896,0.0
0.001816406,0.0
0.001822917,0.0
0.001829427,0.0
0.001835938,0.0
0.001842448,0.0
0.001848958,0.0
0.001855469,0.0
0.001861979,0.0
0.001868490,0.0
0.001875000,0.0
0.001881510,0.0
0.001888021,0.0
0.001894531,0.0
0.001901042,0.0
0.001907552,0.0
0.001914063,0.0
0.001920573,0.0
0.001927083,0.0
0.001933594,0.0
0.001940104,0.0
0.001946615,0.0
0.001953125,0.0
0.001959635,0.0
0.001966146,0.0
0.001972656,0.0
0.001979167,3.3
0.001985677,3.3
0.001992188,3.3
0.001998698,3.3
0.002005208,3.3
0.002011719,3.3
0.002018229,3.3
0.002024740,3.3
0.002031250,3.3
0.002037760,3.3
0.002044271,3.3
0.002050781,3.3
0.002057292,3.3
0.002063802,3.3
0.002070313,3.3
0.002076823,3.3
0.002083333,0.0
0.002089844,0.0
0.002089844,0.0
0.002102865,0.0
0.002109375,0.0
0.002115885,0.0
0.002122396,0.0
0.002128906,0.0
0.002135417,0.0
0.002141927,0.0
0.002148438,0.0
0.002154948,0.0
0.002161458,0.0
0.002167969,0.0
0.002174479,0.0
0.002180990,0.0
0.002187500,3.3
0.002194010,3.3
0.002200521,3.3
0.002207031,3.3
0.002213542,3.3
0.002220052,3.3
0.002226563,3.3
0.002233073,3.3
0.002239583,3.3
0.002246094,3.3
0.002252604,3.3
0.002259115,3.3
0.002265625,3.3
0.002272135,3.3
0.002278646,3.3
0.002285156,3.3
0.002291667,3.3
0.002298177,3.3
0.002304688,3.3
0.002311198,3.3
0.002317708,3.3
0.002324219,3.3
0.002330729,3.3
0.002337240,3.3
0.002343750,3.3
0.002350260,3.3
0.002356771,3.3
0.002363281,3.3
0.002369792,3.3
0.002376302,3.3
0.002382812,3.3
0.002389323,3.3
0.002395833,0.0
0.002395833,0.0
0.002408854,0.0
0.002415365,0.0
0.002421875,0.0
0.002428385,0.0
0.002434896,0.0
0.002441406,0.0
0.002447917,0.0
0.002454427,0.0
0.002460938,0.0
0.002467448,0.0
0.002473958,0.0
0.002480469,0.0
0.002486979,0.0
0.002493490,0.0
0.002500000,3.3
0.002506510,3.3
0.002513021,3.3
0.002519531,3.3
0.002526042,3.3
0.002532552,3.3
0.002539063,3.3
0.002545573,3.3
0.002552083,3.3
0.002558594,3.3
0.002565104,3.3
0.002571615,3.3
0.002578125,3.3
0.002584635,3.3
0.002591146,3.3
0.002597656,3.3
0.002604167,3.3
0.002610677,3.3
0.002617188,3.3
0.002623698,3.3
0.002630208,3.3
0.002636719,3.3
0.002643229,3.3
0.002649740,3.3
0.002656250,3.3
0.002662760,3.3
0.002669271,3.3
0.002675781,3.3
0.002682292,3.3
0.002688802,3.3
0.002695313,3.3
0.002701823,3.3
0.002701823,0.0
0.002714844,0.0
0.002721354,0.0
0.002727865,0.0
0.002734375,0.0
0.002740885,0.0
